Player,Pos,Tm,Cap Hit,year
Drew Brees,,NOR,"$26,400,000",2015
Philip Rivers,,SDG,"$21,166,668",2015
Calvin Johnson,,DET,"$20,558,000",2015
Charles Johnson,,CAR,"$20,020,000",2015
Matt Ryan,,ATL,"$19,500,000",2015
Mario Williams,,BUF,"$19,400,000",2015
Aaron Rodgers,,GNB,"$18,250,000",2015
Matthew Stafford,,DET,"$17,721,250",2015
Peyton Manning,,DEN,"$17,500,000",2015
Ben Roethlisberger,,PIT,"$17,245,000",2015
Robert Quinn,,STL,"$16,744,111",2015
Jay Cutler,,CHI,"$16,500,000",2015
Darrelle Revis,,NYJ,"$16,000,000",2015
Alex Smith,,KAN,"$15,600,000",2015
Adrian Peterson,,MIN,"$15,400,000",2015
Colin Kaepernick,,SFO,"$15,265,753",2015
Tony Romo,,DAL,"$14,973,000",2015
Patrick Peterson,,ARI,"$14,791,491",2015
Calais Campbell,,ARI,"$14,750,000",2015
A.J. Green,,CIN,"$14,750,000",2015
Gerald McCoy,,TAM,"$14,595,000",2015
Joe Flacco,,BAL,"$14,550,000",2015
Eli Manning,,NYG,"$14,450,000",2015
Tom Brady,,NWE,"$14,000,000",2015
J.J. Watt,,HOU,"$13,969,000",2015
Demaryius Thomas,,DEN,"$13,200,000",2015
Rodney Hudson,,OAK,"$13,000,000",2015
Cam Newton,,CAR,"$13,000,000",2015
Sam Bradford,,PHI,"$12,985,000",2015
Brandon Carr,,DAL,"$12,717,000",2015
Clay Matthews,,GNB,"$12,700,000",2015
Jared Allen,,2TM,"$12,500,000",2015
Chris Long,,STL,"$12,500,000",2015
Julio Jones,,ATL,"$12,400,000",2015
Vincent Jackson,,TAM,"$12,209,777",2015
Richard Sherman,,SEA,"$12,200,000",2015
Julius Peppers,,GNB,"$12,000,000",2015
Ryan Kalil,,CAR,"$11,795,000",2015
Johnathan Joseph,,HOU,"$11,750,000",2015
Joe Haden,,CLE,"$11,700,000",2015
D'Brickashaw Ferguson,,NYJ,"$11,698,666",2015
Vontae Davis,,IND,"$11,250,000",2015
Larry Fitzgerald,,ARI,"$10,850,000",2015
Branden Albert,,MIA,"$10,725,000",2015
Trent Williams,,WAS,"$10,680,388",2015
Rob Gronkowski,,NWE,"$10,650,000",2015
Cameron Wake,,MIA,"$10,450,000",2015
Nick Mangold,,NYJ,"$10,407,100",2015
Julius Thomas,,JAX,"$10,300,000",2015
Joe Thomas,,CLE,"$10,200,000",2015
Eric Weddle,,SDG,"$10,100,000",2015
Mike Wallace,,MIN,"$9,900,000",2015
Von Miller,,DEN,"$9,754,000",2015
Pierre Garcon,,WAS,"$9,700,000",2015
Leon Hall,,CIN,"$9,600,000",2015
Andy Dalton,,CIN,"$9,600,000",2015
Duane Brown,,HOU,"$9,500,000",2015
Lawrence Timmons,,PIT,"$9,251,250",2015
DeSean Jackson,,WAS,"$9,250,000",2015
Lardarius Webb,,BAL,"$9,250,000",2015
Matt Forte,,CHI,"$9,200,000",2015
Sam Shields,,GNB,"$9,062,500",2015
Jason Peters,,PHI,"$9,050,000",2015
Jared Odrick,,JAX,"$9,000,000",2015
Brandon Marshall,,NYJ,"$9,000,000",2015
Geno Atkins,,CIN,"$9,000,000",2015
Arian Foster,,HOU,"$8,706,250",2015
Byron Maxwell,,PHI,"$8,700,000",2015
Lorenzo Alexander,,OAK,"$8,700,000",2015
DeMarcus Ware,,DEN,"$8,666,666",2015
Jason McCourty,,TEN,"$8,600,000",2015
Jason Witten,,DAL,"$8,512,000",2015
Jared Veldheer,,ARI,"$8,500,000",2015
Haloti Ngata,,DET,"$8,500,000",2015
Marshawn Lynch,,SEA,"$8,500,000",2015
Marshal Yanda,,BAL,"$8,450,000",2015
Antonio Gates,,SDG,"$8,374,264",2015
Eric Berry,,KAN,"$8,357,700",2015
Jared Cook,,STL,"$8,300,441",2015
Jonathan Stewart,,CAR,"$8,300,000",2015
Rodger Saffold,,STL,"$8,250,000",2015
Paul Kruger,,CLE,"$8,200,000",2015
Everson Griffen,,MIN,"$8,200,000",2015
Michael Griffin,,TEN,"$8,100,000",2015
Jermon Bushrod,,CHI,"$8,050,000",2015
Dan Williams,,OAK,"$8,000,000",2015
Alex Mack,,CLE,"$8,000,000",2015
Jimmy Graham,,SEA,"$8,000,000",2015
Cliff Avril,,SEA,"$8,000,000",2015
Jermey Parnell,,JAX,"$8,000,000",2015
Michael Bennett,,SEA,"$8,000,000",2015
Corey Liuget,,SDG,"$7,977,000",2015
Jamaal Charles,,KAN,"$7,970,835",2015
Brian Cushing,,HOU,"$7,891,250",2015
Marcell Dareus,,BUF,"$7,823,530",2015
Reshad Jones,,MIA,"$7,712,942",2015
Eugene Monroe,,BAL,"$7,700,000",2015
NaVorro Bowman,,SFO,"$7,654,000",2015
Thomas Davis,,CAR,"$7,650,000",2015
Joe Staley,,SFO,"$7,600,000",2015
T.J. Ward,,DEN,"$7,514,705",2015
Andre Johnson,,IND,"$7,500,000",2015
David Harris,,NYJ,"$7,500,000",2015
Robert Mathis,,IND,"$7,470,586",2015
Kareem Jackson,,HOU,"$7,453,125",2015
Anthony Castonzo,,IND,"$7,438,000",2015
Earl Thomas,,SEA,"$7,400,000",2015
Elvis Dumervil,,BAL,"$7,375,000",2015
Carson Palmer,,ARI,"$7,375,000",2015
Jason Pierre-Paul,,NYG,"$7,350,000",2015
Russell Okung,,SEA,"$7,280,000",2015
Dominique Rodgers-Cromartie,,NYG,"$7,250,000",2015
Rey Maualuga,,CIN,"$7,137,500",2015
Antonio Brown,,PIT,"$7,120,833",2015
Ahmad Brooks,,SFO,"$7,055,000",2015
Russell Wilson,,SEA,"$7,054,868",2015
Andrew Luck,,IND,"$7,034,363",2015
Sebastian Vollmer,,NWE,"$7,020,833",2015
Logan Mankins,,TAM,"$7,000,000",2015
Connor Barwin,,PHI,"$7,000,000",2015
Desmond Bryant,,CLE,"$7,000,000",2015
Mike Pouncey,,MIA,"$7,000,000",2015
Sean Smith,,KAN,"$7,000,000",2015
Josh Sitton,,GNB,"$7,000,000",2015
Dez Bryant,,DAL,"$7,000,000",2015
Jahri Evans,,NOR,"$7,000,000",2015
Antonio Cromartie,,NYJ,"$7,000,000",2015
Lamarr Houston,,CHI,"$6,990,000",2015
Cortez Allen,,PIT,"$6,981,000",2015
Muhammad Wilkerson,,NYJ,"$6,969,000",2015
Aqib Talib,,DEN,"$6,968,750",2015
Vernon Davis,,2TM,"$6,967,920",2015
Trent Cole,,IND,"$6,953,125",2015
Kyle Williams,,BUF,"$6,950,000",2015
Anquan Boldin,,SFO,"$6,909,000",2015
Prince Amukamara,,NYG,"$6,898,000",2015
Paul Posluszny,,JAX,"$6,885,416",2015
Donte Whitner,,CLE,"$6,750,000",2015
Jurrell Casey,,TEN,"$6,720,000",2015
Mike Iupati,,ARI,"$6,700,000",2015
Pernell McPhee,,CHI,"$6,675,000",2015
Eric Wood,,BUF,"$6,650,000",2015
Davon House,,JAX,"$6,500,000",2015
Tramon Williams,,CLE,"$6,500,000",2015
Marques Colston,,NOR,"$6,500,000",2015
Eric Decker,,NYJ,"$6,500,000",2015
Curtis Lofton,,OAK,"$6,500,000",2015
Kyle Rudolph,,MIN,"$6,440,625",2015
Cameron Heyward,,PIT,"$6,400,000",2015
Austin Howard,,OAK,"$6,400,000",2015
Andre Smith,,CIN,"$6,362,500",2015
Greg Olsen,,CAR,"$6,300,000",2015
Matt Kalil,,MIN,"$6,290,644",2015
Louis Vasquez,,DEN,"$6,250,000",2015
Ryan Kerrigan,,WAS,"$6,238,000",2015
Andrew Whitworth,,CIN,"$6,200,000",2015
Jerry Hughes,,BUF,"$6,175,000",2015
Martellus Bennett,,CHI,"$6,125,000",2015
Lavonte David,,TAM,"$6,104,642",2015
Jerod Mayo,,NWE,"$6,100,000",2015
Ndamukong Suh,,MIA,"$6,100,000",2015
Eric Fisher,,KAN,"$6,051,954",2015
Brandon Graham,,PHI,"$6,000,000",2015
Devin McCourty,,NWE,"$6,000,000",2015
Emmanuel Sanders,,DEN,"$5,850,000",2015
Greg Toler,,IND,"$5,833,334",2015
T.J. Lang,,GNB,"$5,800,000",2015
Stephen Tulloch,,DET,"$5,800,000",2015
Luke Joeckel,,JAX,"$5,782,254",2015
D'Qwell Jackson,,IND,"$5,750,000",2015
Brandon Mebane,,SEA,"$5,700,000",2015
Malcolm Jenkins,,PHI,"$5,666,666",2015
Brian Robison,,MIN,"$5,650,000",2015
Kam Chancellor,,SEA,"$5,650,000",2015
Nate Solder,,NWE,"$5,604,666",2015
Lance Kendricks,,STL,"$5,600,000",2015
Chad Greenway,,MIN,"$5,575,000",2015
Jairus Byrd,,NOR,"$5,500,000",2015
LeSean McCoy,,BUF,"$5,500,000",2015
Eddie Royal,,CHI,"$5,500,000",2015
Karlos Dansby,,CLE,"$5,500,000",2015
Donald Butler,,SDG,"$5,480,000",2015
Sean Lee,,DAL,"$5,450,000",2015
Sen'Derrick Marks,,JAX,"$5,425,000",2015
Donald Penn,,OAK,"$5,400,000",2015
Randall Cobb,,GNB,"$5,350,000",2015
Jerraud Powers,,ARI,"$5,350,000",2015
Delanie Walker,,TEN,"$5,275,000",2015
Derrick Johnson,,KAN,"$5,250,000",2015
Lane Johnson,,PHI,"$5,225,974",2015
Brian Hoyer,,HOU,"$5,218,750",2015
Jason Hatcher,,WAS,"$5,203,125",2015
Morris Claiborne,,DAL,"$5,175,069",2015
Vontaze Burfict,,CIN,"$5,175,000",2015
Morgan Burnett,,GNB,"$5,131,250",2015
Breno Giacomini,,NYJ,"$5,125,000",2015
Justin Houston,,KAN,"$5,100,000",2015
Clint Boling,,CIN,"$5,100,000",2015
Ezekiel Ansah,,DET,"$5,071,232",2015
Jadeveon Clowney,,HOU,"$5,062,045",2015
Tyron Smith,,DAL,"$5,039,000",2015
Andrew Hawkins,,CLE,"$5,000,000",2015
Antrel Rolle,,CHI,"$5,000,000",2015
DeMarco Murray,,PHI,"$5,000,000",2015
Zane Beadles,,JAX,"$5,000,000",2015
Charles Clay,,BUF,"$5,000,000",2015
Chris Clemons,,JAX,"$5,000,000",2015
Justin Tuck,,OAK,"$4,968,750",2015
Tamba Hali,,KAN,"$4,964,706",2015
Carlos Dunlap,,CIN,"$4,900,000",2015
Leodis McKelvin,,BUF,"$4,900,000",2015
Ryan Tannehill,,MIA,"$4,873,364",2015
